data,hora,natureza_acidente,situacao,bairro,endereco,,numero,detalhe_endereco_acidente,complemento,endereco_cruzamento,numero_cruzamento,referencia_cruzamento,bairro_cruzamento,tipo,descricao,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,num_semaforo,sentido_via,acidente_verificado,tempo_clima,situacao_semaforo,sinalizacao,condicao_via,conservacao_via,ponto_controle,situacao_placa,velocidade_max_via,mao_direcao,divisao_via1,divisao_via2,divisao_via3,_id,Protocolo
2016-01-01,07:26:00,COM VÍTIMA,FINALIZADA,CABANGA,AV SUL GOV. CID SAMPAIO,0,,,NO SEMAFORO Nº260,AV SUL,0,NO SEMAFORO Nº260,CABANGA,COLISÃO,COL.C/V SET.CD,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-01,08:35:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,0,,,SEMAFORO 142 CRUZAMENTO DA CLINICAL CENTER,AV ENGENHEIRO DOMINGOS FERREIRA,0,SEMAFORO 142 CRUZAMENTO DA CLINICAL CENTER,BOA VIAGEM,COLISÃO,COLISÃO COM VITIMA AQUARDANDO SAMU,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,
2016-01-01,18:30:00,COM VÍTIMA,FINALIZADA,JAQUEIRA,AV RUI BARBOSA,1,X,,EM FRENTE AO PARQUE DA JAQUEIRA,AV RUI BARBOSA,X,EM FRENTE AO PARQUE DA JAQUEIRA,JAQUEIRA,COLISÃO,COLISÃO ENTRE QUATRO AUTO  SEGUINTE DE UM CAPOTAMENTO DE UM DOS VEICULOS,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-01,23:09:00,COM VÍTIMA,FINALIZADA,BEBERIBE,AV BEBERIBE,4,4510,,NO POSTO DE SAUDE DE BEBERIBE,AV BEBERIBE,4510,NO POSTO DE SAUDE DE BEBERIBE,BEBERIBE,ATROPELAMENTO,VEICULO SOBE CALÇADA E PEGA PEDESTRE QUEBRANDO MURO DO POSTO,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-02,06:32:00,VÍTIMA FATAL,FINALIZADA,BOA VISTA,RUA DA AURORA,2,XX,,CRUZAMENTO COM RUA PRINCESA IZABEL,RUA DA AURORA,XX,CRUZAMENTO COM RUA PRINCESA IZABEL,BOA VISTA,COLISÃO,SEGUNDO INFORMAÇÕES DE POPULARES  O CONDUTOR DA MOTOCICLETA AVANÇOU O SINAL VERMELHO E COLIDIU NO ÔNIBUS DA CRT.,,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,
2016-01-02,11:00:00,COM VÍTIMA,FINALIZADA,ARRUDA,RUA DO MACHADO,3,862,,E/F AO BLOCO OS IRRESPONSAVEIS,RUA DO MACHADO,862,E/F AO BLOCO OS IRRESPONSAVEIS,ARRUDA,COLISÃO,COM UMA VÍTIMA,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-02,12:52:00,COM VÍTIMA,FINALIZADA,CASA AMARELA,RUA VASCO DA GAMA,0,,,E/F DO TREZE DO VASCO,RUA VASCO DA GAMA,0,E/F DO TREZE DO VASCO,CASA AMARELA,COLISÃO,COLISAO DE MOTO E AUTO COM UMA VITIMA,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-03,00:49:00,COM VÍTIMA,FINALIZADA,JARDIM SAO PAULO,AV SAO PAULO,0,,,PRÓX AO SUPERMERCADO VENDE MAIS,AV SAO PAULO,0,PRÓX AO SUPERMERCADO VENDE MAIS,JARDIM SÃO PAULO,COLISÃO,COLISÃO ENTRE UM AUTO E UMA MOTO,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-03,03:41:00,VÍTIMA FATAL,FINALIZADA,IMBIRIBEIRA,RUA ARQUITETO LUIZ NUNES,2,SN,,POR TRAZ DO SUPERMERCADO ASSAI,RUA ARQUITETO LUIZ NUNES,SN,POR TRAZ DO SUPERMERCADO ASSAI,IMBIRIBEIRA,COLISÃO,AUTO E MOTO,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
2016-01-03,10:51:00,COM VÍTIMA,FINALIZADA,SITIO DOS PINTOS,RUA DO SITIO SAO BRAZ,3,590,,uma rua após o campo de futebol do sitio dos pintos,RUA DO SITIO SAO BRAZ,590,uma rua após o campo de futebol do sitio dos pintos,SÍTIO DOS PINTOS,CAPOTAMENTO,atropelamento seguido de capotamento com vitima,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-03,11:42:00,COM VÍTIMA,FINALIZADA,SANTO AMARO,RUA CAPITAO LIMA,0,,,PROXÍMO AO JORNAL DO COMMERCIO,RUA CAPITAO LIMA,0,PROXÍMO AO JORNAL DO COMMERCIO,SANTO AMARO,COLISÃO,COLISÃO COM VÍTIMA,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-03,14:38:00,COM VÍTIMA,FINALIZADA,ESPINHEIRO,AV JOAO DE BARROS,4,1545,,EM FRENTE A FARMACIA PAGUE MENOS E A ESCOLA SABER VIVER,AV JOAO DE BARROS,1545,EM FRENTE A FARMACIA PAGUE MENOS E A ESCOLA SABER VIVER,ESPINHEIRO,COLISÃO,AUTO E MOTO,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-04,12:33:00,COM VÍTIMA,FINALIZADA,TORRE,RUA PADRE LANDIM,0,,,EM FRENTE AO COLÉGIO CRISTO REI,RUA PADRE LANDIM,0,EM FRENTE AO COLÉGIO CRISTO REI,TORRE,COLISÃO,COLISÃO COM VÍTIMA,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-04,15:34:00,COM VÍTIMA,FINALIZADA,JORDAO,AV MARIA IRENE,4,1225,,PROXÍMO AO JORDÃO MOTO PEÇAS,AV MARIA IRENE,1225,PROXÍMO AO JORDÃO MOTO PEÇAS,JORDÃO,COLISÃO,COLISÃO COM VÍTIMA,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-04,16:05:00,COM VÍTIMA,FINALIZADA,JORDAO,RUA DR ALVARO FERRAZ,0,,,TERMINAL DO ÔNIBUS DE JORDÃO BAIXO,RUA DR ALVARO FERRAZ,0,TERMINAL DO ÔNIBUS DE JORDÃO BAIXO,JORDÃO,COLISÃO,2 AUTOS,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-04,16:43:00,COM VÍTIMA,FINALIZADA,RECIFE,AV ALFREDO LISBOA,0,,,EM FRENTE A PRAÇA DO MARCO ZERO,AV ALFREDO LISBOA,0,EM FRENTE A PRAÇA DO MARCO ZERO,BAIRRO DO RECIFE,COLISÃO,COLISÃO ENTRE AUTO E MOTO COM VITIMA,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-04,17:08:00,COM VÍTIMA,FINALIZADA,CASA FORTE,AV DEZESSETE DE AGOSTO,0,,,ESQ COM A RUA ENG OSCAR FERREIRA / SEMAFORO 646,AV DEZESSETE DE AGOSTO,0,ESQ COM A RUA ENG OSCAR FERREIRA / SEMAFORO 646,CASA FORTE,COLISÃO,MOTO E AUTO,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-04,17:50:00,COM VÍTIMA,FINALIZADA,SANTO AMARO,RUA TREZE DE MAIO,3,970,,FÁCIL PNEU BORRACHARIA,RUA TREZE DE MAIO,970,FÁCIL PNEU BORRACHARIA,SANTO AMARO,ATROPELAMENTO,VEÍCULO SIENA ATROPELOU UMA SENHORA E UMA CRIANÇA,1,,,,1,,,,,2,,,,,,,,,,,,,,,,,,
2016-01-05,16:04:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA FAUSTINO PORTO,2,65,,PX A CAIXA ECONOMICA,RUA FAUSTINO PORTO,65,PX A CAIXA ECONOMICA,BOA VIAGEM,ATROPELAMENTO,ATROPELAMENTO COM 1 VITIMA,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-05,18:10:00,COM VÍTIMA,FINALIZADA,ESPINHEIRO,AV GOVERNADOR AGAMENON MAGALHAES,0,,,PROX. A UPE  EM CIMA DO VIA DUTO DA JOÃO DE BARROS,AV GOVERNADOR AGAMENON MAGALHAES,0,PROX. A UPE  EM CIMA DO VIA DUTO DA JOÃO DE BARROS,ESPINHEIRO,COLISÃO,COLISÃO ENTRE AUTO E MOTO COM VITIMA,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-06,12:59:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,AV BOA VIAGEM,4,6432,,NO SEMAFORO Nº149,AV BOA VIAGEM,6432,NO SEMAFORO Nº149,BOA VIAGEM,COLISÃO,COL.C/V,2,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-06,17:33:00,COM VÍTIMA,FINALIZADA,DOIS UNIDOS,RUA VINTE E UM DE JUNHO,3,343,,PRÓXIMO A ASSEMBLÉIA DE DEUS E ANTENA DA OI,RUA VINTE E UM DE JUNHO,343,PRÓXIMO A ASSEMBLÉIA DE DEUS E ANTENA DA OI,DOIS UNIDOS,CHOQUE,CHOQUE DE VEÍCULO COM MURO,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-06,18:40:00,COM VÍTIMA,FINALIZADA,CASA AMARELA,RUA ALTO JOSE BONIFACIO,3,149,,PROX. A FEIRA DA RODINHA,RUA ALTO JOSE BONIFACIO,149,PROX. A FEIRA DA RODINHA,CASA AMARELA,COLISÃO COM CICLISTA,VEICULO COLIDIO COM CICLISTA  ONDE A VITIMA JA FOI SOCORRIDA,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-06,19:48:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA ANTONIO FALCAO,2,XX,,EMBAIXO DO VIADUTO DA VIA MANGUE,RUA ANTONIO FALCAO,XX,EMBAIXO DO VIADUTO DA VIA MANGUE,BOA VIAGEM,COLISÃO,AUTO E MOTO,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-06,19:58:00,COM VÍTIMA,FINALIZADA,TORRE,RUA LEONARDO BEZERRA CAVALCANTE,3,672,,EM FRENTE A SHOPPING PLAZA EM FRENTE A LOJA CARA DE SONO,RUA LEONARDO BEZERRA CAVALCANTE,672,EM FRENTE A SHOPPING PLAZA EM FRENTE A LOJA CARA DE SONO,TORRE,COLISÃO,AUTO E MOTO,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-07,10:29:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,4,3333,,EM FRENTE A GALERIA SANTA ROSA,AV ENGENHEIRO DOMINGOS FERREIRA,3333,EM FRENTE A GALERIA SANTA ROSA,BOA VIAGEM,COLISÃO,COLISÃO COM VITIMA ONIBUS E AUTO-PASSEIO,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
2016-01-07,10:36:00,COM VÍTIMA,FINALIZADA,SAN MARTIN,RUA OUREM,0,,,COM A RUA CONSUL VIALARES FRAGOSO ESQUINA DA CAVALARIA EDF QUINTA DAS GRAÇAS,RUA OUREM,0,COM A RUA CONSUL VIALARES FRAGOSO ESQUINA DA CAVALARIA EDF QUINTA DAS GRAÇAS,SAN MARTIN,COLISÃO,COLISAO DE DOIS AUTOS COM UMA VITIMA,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-07,13:41:00,COM VÍTIMA,FINALIZADA,PARNAMIRIM,RUA LEONARDO BEZERRA CAVALCANTE,3,250,,PRÓXIMO AO HOSPITAL MARIA LUCINDA  E/F COLÉGIO SANTA MARIA MARILAC  SENTIDO CASA FORTE,RUA LEONARDO BEZERRA CAVALCANTE,250,PRÓXIMO AO HOSPITAL MARIA LUCINDA  E/F COLÉGIO SANTA MARIA MARILAC  SENTIDO CASA FORTE,PARNAMIRIM,COLISÃO,01 MOTO 01 AUTO,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-07,13:53:00,COM VÍTIMA,FINALIZADA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,0,,,EM BAIXO DO SEMAFORO 288,AV MARECHAL MASCARENHAS DE MORAES,0,EM BAIXO DO SEMAFORO 288,IMBIRIBEIRA,COLISÃO,COLISAO DE MOTO E DOIS AUTO S/V,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-07,16:05:00,COM VÍTIMA,FINALIZADA,AREIAS,AV DR JOSE RUFINO,0,,,SEMÁFORO 557 / SENT CIDADE,AV DR JOSE RUFINO,0,SEMÁFORO 557 / SENT CIDADE,AREIAS,COLISÃO,MOTO E AUTO,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-07,20:09:00,VÍTIMA FATAL,FINALIZADA,BOA VIAGEM,AV BOA VIAGEM,4,6472,,NO SEMAFORO 149,AV BOA VIAGEM,6472,NO SEMAFORO 149,BOA VIAGEM,COLISÃO,PERSEGUIÇÃO DA PM POR VEICULO ROUBADO  TERMINA EM COLISÃO DE 5 AUTO  C/V,5,,,,,,,,,,1,,,,,,,,,,,,,,,,,
2016-01-08,02:42:00,COM VÍTIMA,FINALIZADA,CAMPO GRANDE,AV GOVERNADOR AGAMENON MAGALHAES,0,,,SEMÁFORO EM FRENTE AO PRÉDIO DO IC,AV GOVERNADOR AGAMENON MAGALHAES,0,SEMÁFORO EM FRENTE AO PRÉDIO DO IC,CAMPO GRANDE,CHOQUE,CONDUTOR PERDEU O CONTROLE DO VEÍCULO E SE CHOCOU CONTRA A MARGEM DO CANAL,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-08,06:03:00,COM VÍTIMA,FINALIZADA,CAXANGA,AV CAXANGA,3,624,,PX A POWER CAR,AV CAXANGA,624,PX A POWER CAR,CAXANGÁ,COLISÃO,COLISAO ENTRE AUTO E DUAS MOTOS,1,2,,,,,,,,2,,,,,,,,,,,,,,,,,,
2016-01-08,06:38:00,COM VÍTIMA,FINALIZADA,IPSEP,AV RECIFE,0,,,SENTIDO AEROPORTO SUBURBIO EM BAIXO DO SEMAFORO 130,AV RECIFE,0,SENTIDO AEROPORTO SUBURBIO EM BAIXO DO SEMAFORO 130,IPSEP,COLISÃO,COLISÃO COM 1 VITIMA,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-08,07:20:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA PADRE CABRAL,2,86,,EM FRENTE AO EDF PARADOR DE BARCELONA RUA DA FARMACIA MUNDIAL,RUA PADRE CABRAL,86,EM FRENTE AO EDF PARADOR DE BARCELONA RUA DA FARMACIA MUNDIAL,BOA VIAGEM,ATROPELAMENTO,ATROPELAMENTO BOMBEIRO NO LOCAL,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,
2016-01-08,07:32:00,COM VÍTIMA,FINALIZADA,IMBIRIBEIRA,AV ENGENHEIRO ALVES DE SOUZA,3,546,,E/F A GIOVANI CABELEREIRO  A ESTAÇÃO DA CELPE. NO LADO ESQUERDO DA VIA.,AV ENGENHEIRO ALVES DE SOUZA,546,E/F A GIOVANI CABELEREIRO  A ESTAÇÃO DA CELPE. NO LADO ESQUERDO DA VIA.,IMBIRIBEIRA,COLISÃO,COM UMA VÍTIMA.,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-08,08:54:00,COM VÍTIMA,FINALIZADA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,4,1148,,PROX A EMPRESA AUTOMAX SENTIDO AEROPORTO,AV MARECHAL MASCARENHAS DE MORAES,1148,PROX A EMPRESA AUTOMAX SENTIDO AEROPORTO,IMBIRIBEIRA,COLISÃO,COLISAO COM 2 VITIMAS ENTRE AUTO E MOTO,1,1,,,,,,,,2,,,,,,,,,,,,,,,,,,
2016-01-08,09:02:00,COM VÍTIMA,FINALIZADA,CORDEIRO,RUA GOMES TABORDA,4,1758,,E/F AO COLEGIO VALENTI,RUA GOMES TABORDA,1758,E/F AO COLEGIO VALENTI,CORDEIRO,ATROPELAMENTO,VITIMA SOCORRIDA PELO SAMU,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-08,16:20:00,COM VÍTIMA,FINALIZADA,CORDEIRO,RUA GOMES TABORDA,3,298,,AO LADO DA JOKEY CLUBE,RUA GOMES TABORDA,298,AO LADO DA JOKEY CLUBE,CORDEIRO,COLISÃO,COLISAO DE DUAS MOTOS COM 2 VITIMAS,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-08,18:56:00,COM VÍTIMA,FINALIZADA,TAMARINEIRA,RUA DR JOSE MARIA,4,1038,,PROX. AO HOSPITAL DA TAMARINEIRA,RUA DR JOSE MARIA,1038,PROX. AO HOSPITAL DA TAMARINEIRA,TAMARINEIRA,COLISÃO,COLISÃO ENTRE ONIBUS E AUTO PASSEIO  C/V,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
2016-01-08,23:53:00,COM VÍTIMA,FINALIZADA,ESTANCIA,AV DR JOSE RUFINO,0,,,PROX. A FÁBRICA YOLANDA,AV DR JOSE RUFINO,0,PROX. A FÁBRICA YOLANDA,ESTÂNCIA,COLISÃO,COLISÃO ENTRE AUTO E MOTO,1,1,,,,,,,,2,,,,,,,,,,,,,,,,,,
2016-01-09,10:24:00,COM VÍTIMA,FINALIZADA,JARDIM SAO PAULO,AV SAO PAULO,3,527,,E/F AO SUPERMERCADO RENDE MAIS,AV SAO PAULO,527,E/F AO SUPERMERCADO RENDE MAIS,JARDIM SÃO PAULO,COLISÃO,COLISÃO COM 1 VITIMA SOCORRIDO PELO SAMU,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-09,10:31:00,COM VÍTIMA,FINALIZADA,AREIAS,AV TAPAJOS,3,239,,EM FRENTE AO HORTIFRUTI,AV TAPAJOS,239,EM FRENTE AO HORTIFRUTI,AREIAS,COLISÃO,COLISÃO COM VÍTIMA,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-09,15:03:00,COM VÍTIMA,FINALIZADA,CASA FORTE,AV DEZESSETE DE AGOSTO,4,1766,,EM FRENTE AO BAR REAL,AV DEZESSETE DE AGOSTO,1766,EM FRENTE AO BAR REAL,CASA FORTE,COLISÃO,ONIBUS E AUTO,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,
2016-01-09,17:40:00,COM VÍTIMA,FINALIZADA,CORDEIRO,RUA MAURICIO DE NASSAU,0,,,CRUZ COM A RUA ESTEVÃO COSTA  PRÓX.: AO GOE,RUA MAURICIO DE NASSAU,0,CRUZ COM A RUA ESTEVÃO COSTA  PRÓX.: AO GOE,CORDEIRO,COLISÃO,02 AUTOS,2,,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-09,19:13:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA DOS NAVEGANTES,3,447,,AO LADO DO HOTEL CANÁRIOS,RUA DOS NAVEGANTES,447,AO LADO DO HOTEL CANÁRIOS,BOA VIAGEM,COLISÃO,COLISÃO ENTRE AUTO E MOTO C/V,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-10,15:17:00,COM VÍTIMA,FINALIZADA,TAMARINEIRA,RUA CONEGO BARATA,3,596,,ANTES DA FERREIRA COSTA,RUA CONEGO BARATA,596,ANTES DA FERREIRA COSTA,TAMARINEIRA,COLISÃO,AUTO E MOTO,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-10,21:33:00,COM VÍTIMA,FINALIZADA,CAMPO GRANDE,EST DE BELEM,2,XX,,EM FRENTE COLEGIO JESUS CRUCIFICADO E O POSTO IPIRANGA,EST DE BELEM,XX,EM FRENTE COLEGIO JESUS CRUCIFICADO E O POSTO IPIRANGA,CAMPO GRANDE,COLISÃO,CINQUENTINHA E AUTO,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-10,21:35:00,COM VÍTIMA,FINALIZADA,ARRUDA,RUA DO MACHADO,3,106,,POR TRAS DO CAMPO DO ARRUDA  PROX. A PANIFICAÇÃO CENTRAL,RUA DO MACHADO,106,POR TRAS DO CAMPO DO ARRUDA  PROX. A PANIFICAÇÃO CENTRAL,ARRUDA,COLISÃO,COLISÃO ENTRE AUTO E MOTO C/V,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-11,05:53:00,VÍTIMA FATAL,FINALIZADA,ILHA DO RETIRO,AV ENGENHEIRO ABDIAS DE CARVALHO,0,,,EM FRENTE A FACULDADE POLITECNICA DA UPE  E PROX AO ESTADIO ILHA DO RETIRO,AV ENGENHEIRO ABDIAS DE CARVALHO,0,EM FRENTE A FACULDADE POLITECNICA DA UPE  E PROX AO ESTADIO ILHA DO RETIRO,ILHA DO RETIRO,CHOQUE,MOTO CHOCOU-SE CONTRA PLACA DE MADEIRA,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
2016-01-11,12:22:00,COM VÍTIMA,FINALIZADA,MADALENA,RUA BENFICA,2,XX,,EM FRENTE AO RESTAURANTE ESTRELA DO MAR E POR TRAS DO SUPERMERCADO EXTRA,RUA BENFICA,XX,EM FRENTE AO RESTAURANTE ESTRELA DO MAR E POR TRAS DO SUPERMERCADO EXTRA,MADALENA,COLISÃO,AUTO E MOTO,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-11,12:27:00,COM VÍTIMA,FINALIZADA,CASA AMARELA,RUA PADRE LEMOS,0,,,E/F AO MERCADO PUPLICO DE CASA AMARELA,RUA PADRE LEMOS,0,E/F AO MERCADO PUPLICO DE CASA AMARELA,CASA AMARELA,COLISÃO,COLISAO ENTRE AUTO E MOTO,1,1,,,,,,,,2,,,,,,,,,,,,,,,,,,
2016-01-11,13:26:00,COM VÍTIMA,FINALIZADA,CURADO,ROD BR CENTO E UM,0,,BR 101 (DENTRO DA CEASA),E/F DO ATACADAO DA CESTA BASICA,BR 101 (DENTRO DA CEASA),0,E/F DO ATACADAO DA CESTA BASICA,CURADO,ATROPELAMENTO,ATROPELAMENTO DE MOTO COM UMA VITIMA,,1,,,1,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-11,20:02:00,COM VÍTIMA,FINALIZADA,SANTO ANTONIO,RUA FLORIANO PEIXOTO,0,,,ENFR A CASA DA CULTURA E A ANTIGA ENTRADA DA ESTAÇÃO RECIFE,RUA FLORIANO PEIXOTO,0,ENFR A CASA DA CULTURA E A ANTIGA ENTRADA DA ESTAÇÃO RECIFE,SANTO ANTÔNIO,COLISÃO,CAMINHAO E MOTO,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,
2016-01-12,08:00:00,COM VÍTIMA,FINALIZADA,BOA VIAGEM,RUA DOS NAVEGANTES,0,,,POR TRÁS DA CASA DO BRIGADEIRO,RUA DOS NAVEGANTES,0,POR TRÁS DA CASA DO BRIGADEIRO,BOA VIAGEM,COLISÃO,COM UMA VÍTIMA.,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-12,08:16:00,COM VÍTIMA,FINALIZADA,SANTO AMARO,AV CRUZ CABUGA,0,,,PROX AO RETORNO DO SHOPPING TACARUNA,AV CRUZ CABUGA,0,PROX AO RETORNO DO SHOPPING TACARUNA,SANTO AMARO,COLISÃO,COLISÃO COM 1 VITIMA,1,1,,,,,,,,2,,,,,,,,,,,,,,,,,,
2016-01-12,08:28:00,COM VÍTIMA,FINALIZADA,TORREAO,RUA MARECHAL DEODORO,3,662,,EM FRENTE A ESCOLA DOM CARLOS COELHO,RUA MARECHAL DEODORO,662,EM FRENTE A ESCOLA DOM CARLOS COELHO,TORREÃO,COLISÃO COM CICLISTA,COLISÃO COM VÍTIMA,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-12,08:45:00,COM VÍTIMA,FINALIZADA,CORDEIRO,AV CAXANGA,0,,,SEMAFORO Nº080,AV CAXANGA,0,SEMAFORO Nº080,CORDEIRO,COLISÃO,COL.C/V SET.CD,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-12,12:47:00,COM VÍTIMA,FINALIZADA,PINA,RUA MANOEL DE BRITO,3,67B,,PX AO BATALHAO DE POLICIA,RUA MANOEL DE BRITO,67B,PX AO BATALHAO DE POLICIA,PINA,COLISÃO,COLISAO CAMINHAO E MOTO,,1,,,,,1,,,1,,,,,,,,,,,,,,,,,,
2016-01-12,12:56:00,COM VÍTIMA,FINALIZADA,MADALENA,AV VISCONDE DE ALBUQUERQUE,3,401,,E/F GALERIA MADALENA CENTER,AV VISCONDE DE ALBUQUERQUE,401,E/F GALERIA MADALENA CENTER,MADALENA,COLISÃO,COLISAO ENTRE ONIBUS E AUTO,1,,,,,1,,,,5,,,,,,,,,,,,,,,,,,
2016-01-12,17:34:00,COM VÍTIMA,FINALIZADA,ROSARINHO,RUA SAO SALVADOR,3,105,,PROX DO CLUBE PORTUGUES,RUA SAO SALVADOR,105,PROX DO CLUBE PORTUGUES,ROSARINHO,COLISÃO,COLISAO DE AUTO E MOTO S/V,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-12,21:38:00,COM VÍTIMA,FINALIZADA,SANTO ANTONIO,AV GUARARAPES,0,,,CRUZAMENTO COM AV DANTAS BARRETO,AV GUARARAPES,0,CRUZAMENTO COM AV DANTAS BARRETO,SANTO ANTÔNIO,COLISÃO,COLISÃO ENTRE AUTO E CINQUENTINHA,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-13,11:36:00,COM VÍTIMA,FINALIZADA,CAMPO GRANDE,RUA PROFESSOR FRANCISCO DA TRINDADE,0,,,CRUZ COM A RUA CALUTO DA PAIXÃO,RUA PROFESSOR FRANCISCO DA TRINDADE,0,CRUZ COM A RUA CALUTO DA PAIXÃO,CAMPO GRANDE,COLISÃO,COLISÃO COM VITIMA,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-13,22:46:00,COM VÍTIMA,FINALIZADA,IMBIRIBEIRA,RUA JOSE DA SILVA LUCENA,0,,,POR TRAS DO HIPER  E PROX. AO ANTIGO COLEGIO ATUAL,RUA JOSE DA SILVA LUCENA,0,POR TRAS DO HIPER  E PROX. AO ANTIGO COLEGIO ATUAL,IMBIRIBEIRA,CAPOTAMENTO,COLISÃO ENTRE AUTO E MOTO  SEGUIDA DE UM CAPOTAMENTO. IC NO LOCAL,1,1,,,,,,,,2,,,,,,,,,,,,,,,,,,
2016-01-14,08:13:00,COM VÍTIMA,FINALIZADA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,0,,,NA DESCIDA DO VIADUTO TANCREDO NEVES SENTIDO BR 101,AV MARECHAL MASCARENHAS DE MORAES,0,NA DESCIDA DO VIADUTO TANCREDO NEVES SENTIDO BR 101,IMBIRIBEIRA,COLISÃO,COLISÃO COM 1 VITIMA SOCORRIDA PELO SAMU,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-14,13:56:00,COM VÍTIMA,FINALIZADA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,4,2967,,E/F A FERREIRA COSTA  SENTIDO AFOGADOS,AV MARECHAL MASCARENHAS DE MORAES,2967,E/F A FERREIRA COSTA  SENTIDO AFOGADOS,IMBIRIBEIRA,COLISÃO,01 MOTO 01 AUTO,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
2016-01-14,17:32:00,COM VÍTIMA,FINALIZADA,SANTO AMARO,RUA CAPITAO LIMA,0,,,PX A TV JORNAL,RUA CAPITAO LIMA,0,PX A TV JORNAL,SANTO AMARO,COLISÃO,COLISAO ENTRE AUTO E MOTO,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,
